TIPO_PROCESAMIENTO
STACK
MIGRADA
PSTM_NR
DMO SACK
DMO STACK
MIGRATION
MIGRACION
PRESTK_MIG
PSTM-STACK
FINAL PSTM
 MIGRATION
FINAL STACK
PSTM STACK.
FX-MIGRATION
FX MIGRATION
FD MIGRATION
FK MIGRATION
SUMA MIGRADA
SCANNED STACK
DMO MIGRATION
MIGRATION-RNA
DMO+MIGRACION
STACK VERTICAL
FILTERED STACK
FILTERED-STACK
MIGRATION-SCAN
ENHANCED-STACK
MIGRACION PSTM
FINAL MIGRATION
SECCION MIGRADA
DEPTH MIGRATION
PSMIG+MIGRACION
APILAMIENTO DMO
FINAL PSTM TACK
 PSDM KIRCHHOFF
STOLT MIGRATION
STRUCTURAL-STACK
MIGRATED-SECTION
FINAL-STACK-SCAN
UNMIGRATED STACK
STRUCTURAL STACK.
MIGRATION SECTION
DMO STACK-TVF/AGC
FD TIME MIGRATION
FILTERED MIGRATION
FILTERED-MIGRATION
NON MIGRATED STACK
ENHANCED DMO STACK
ATPEGLEG+MIGRACION
PRE-STACK-MIGRATION
MIGRATE+TVF+AGC+COH
NOISE-REDUCED-STACK
ENHANCED DMO STACK.
 ENHANCED MIGRATION
 PSDM WAVE EQUATION
MIGRACION PRE STACK
MERGE SCANNED STACKS
9000% FILTERED-STACK
STOLT TIME MIGRATION
PSTM_STACK_AGC (TWT)
DMO MIGRATION-TVF/AGC
MIGRACION PRE-APILADO
 MIGRACION PRE STACK
 FINAL MIGRATED STACK
 POST STACK MIGRATION
OMEGA X-TIME MIGRATION
OMEGA-X TIME MIGRATION
LOS SP SON APROXIMADOS
ENHANCED DMO MIGRATION
NOISE-REDUCED-DMO-STACK
PRE-STACK-DEPTH-IMAGING
STACK.  NORMAL POLARITY
NOISE-REDUCED-MIGRATION
BSP-TIME-VELOCITY-DEPTH
WITH SIGNAL ENHANCEMENT
OMEGA X TIME MIGRATION.
ENHANCED DMO MIGRATION.
PRESTACK TIME MIGRATION
PRE STACK TIME MIGRATED
POST STACK FX-MIGRATION
KIRCHOFF TIME MIGRATION
OMEGA X - TIME MIGRATION
ENHANCED STACK - TVF/AGC
PRE STACK DEPH MIGRATION
KIRCHHOFF TIME MIGRATION
DMO STACK. IMAGEN GIRADA
PRE-STACK TIME MIGRATION
OMEGA-X TIME MIGRATION- 
OMEGA- X  TIME MIGRATION
PRESTACK TIME MIGRATION.
PRESTACK-TIME MIGRATION.
MIGRACION - POST APILADO
PRE STACK TIME MIGRATION
PRE-STACK-DEPTH-MIGRATION
DMO STACK NORMAL POLARITY
DMO-STACK-NORMAL-POLARITY
PRE-STACK DEPTH MIGRATION
POST STACK TIME MIGRATION
POST-STACK-TIME MIGRATION
PRE-STACK TIME MIGRATION.
DMO STACK  NORMAL POLARITY
MIGRADA-POLARIDAD POSITIVA
POST-STACK-TIME MIGRATION.
PRE-STACK KIRCHOFF TIME MIGRATION.
 PRE-STACK TIME MIGRATION.
NOISE-REDUCED-DMO-MIGRATION
FINITE DIFFERENCE MIGRATION
DMO STACK W\RADON MIGRATION
 STACK WITH RESIDUAL STATICS
NOISE REDUCED STACK - TVF / AGC
MIGRACION PRE-APILADO EN TIEMPO
 MIGRACION PREAPILADO EN TIEMPO
MIGRATION SPECTRAL WHITENING RNA
MIGRATION WITH FXY DECONVOLUTION
PRE-STAKC KIRCHOF TIME MIGRATION
 MIGRACION PRE APILADO EN TIEMPO
MIGRATION POST APILADO EN TIEMPO
ENHANCED STACK- POSITIVE POLARITY
MIGRATED STACK- POSITIVE POLARITY
MIGRACION ANTES DE SUMA EN TIEMPO
ANISOTROPIC DEPTH MIGRATION STACK
MIGRATED DMO STACK NORMAL POLARITY
KIRCHHOFF PRE-STACK TIME MIGRATION
PRE-STACK KIRCHHOFF TIME MIGRATION
 FINAL FILTERED & SCALED MIGRATION
 ENHANCED PRESTACK TIME MIGRATION 
 MIGRACION PRE - APILADO EN TIEMPO
MIGRACION PRE-STACK EN PROFUNDIDAD
PRE-STACK-TIME MIGRATION ZERO PHASE
MIGRATED DMO STACK  NORMAL POLARITY
KIRCHHOFF POST-STACK TIME MIGRATION
MIGRATION WITH FX NOISE ATTENUATION
 MIGRACION POST - APILADO EN TIEMPO
STACK FINAL NO MIGRADA CON GANANCIA.
DMO STACK W\RADON KIRCHHOFF MIGRATION 
ENHANCED DMO MIGRATION-NORMAL POLARITY
MIGRACION ANTES DE SUMA EN PROFUNDIDAD
OMEGA-X MIGRATION WITH FILTER AND GAIN.
ENHANCED DMO MIGRATION- NORMAL POLARITY
PRE-STACK TIME MIGRATION FAR ANGLE STACK
PRESTACK TIME MIGRATION- NORMAL POLARITY
PRE-STACK TIME MIGRATION NEAR ANGLE STACK
 BRUTE STACK WITH FILTER AND MUTE APPLIED
NORMAL POLARITY MIGRATED STACK (KIRCHHOFF)
 PRE-STACK TIME MIGARATION NORMAL POLARITY
MIGRACION KIRCHHOFF ANTES DE SUMA EN TIEMPO
MIGRACION PRE-APILADO- H 10 TR/CM V 12CM/SEG
 PRESTACK KIRCHIOFF MIGRATION FREQ + TX DCON
MIGRACION POST-APILADO- H 10 TR/CM V 12CM/SEG
 STRUCTURE STACK WITH FILTER AND MUTE APPLIED
FINAL MIGRATION; EXISTE UNA COPIA EN DVDP20001
 UNFILTERED STRUCTRURE STACK WITH MUTE APPLIED
 PRESTACK KIRCHIOFF MIGRATION + FREQ + TX DCON
PRE-STACK KIRCHOFF TIME MIGRATION.  FALTA FOLD.
AVO INVERSION AND ANALISIS - PRECONDITIONED  GATHER
ONE PASS RESIDUAL STACK WITH FILTER AND MUTE APPLIED
TX SHOT NOISE REDUCTION PRE STACK KIRCHHOFF MIGRATION
PRE STACK TIME MIGRATION- SIN ESTATICAS DE REFRACCION
 ONE PASS RESIDUAL STACK WITH FILTER AND MUTE APPLIED
DECON HAWK STATICS 600% CDP/STACK
600% STACK ( 2 VERSION )
600% STACK- DECON- TV-FILTER (2 VERSION ).
600% STACK- DECON- TV FILTER- TIME MIGRATION
600% STACK- ( FIRST VERSION )
DECON+2400% CDP/STACK+STVF
DECON+2400% CDP/STACK+STVF.
T/V DECON+2400%CDPSTACK + STVF
T/V DECON+2400% CDPSTACK+STVF.
DECON+2400%CDP/STACK+STACK+STVF
1200 % DBS- CSTK- DAS- TVF- RPF 
1200 % DBS- CSTK- DAS- TVF 
1200 % DBS- CSTK- DAS- TVF
1200 % DBS- CSTK- DAS- TVF-RPF
1200 % DBS- CSTK-  RPF- TVF 
1200 % DBS- CSTK-  TVF 
1200 % DBS- CSTK- DAS- RPF- MIGR- TVF 
1200 % DBS- CSTK- TVF 
1200 % DBS- CSTK- TVF- GAIN- RPF 
1200 % DBS- CSTK- TVF-RPF 
1200% DBS- CSTK- DAS-  TVF
1200% DBS- CSTK- DAS- RPF- TVF
1200 % DBS- CSTK- RPF- TVF 
1200 % DBS- CSTK- DAS- RPF- TVF 
2400 % DBS- CSTK- DAS- RPF- TVF 
2400 % DBS- CSTK- DAS- TVF 
600% CDP/STACK
DECON+2400%CDP/STACK+STVF
600% DBS- CSTK- DAS- RPF- TVF
600% DBS- CSTK- DAS- RPF- TVF                       
1200 % DBS- CSTK- DAS- RPF- TVF
600% DBS- CSTK- DAS- RPF- TVF.
1200 % DCON- DPHASE- CSTK- DAS- RPF- TVF
1200 % DCON- DPHSE-CSTK- DAS- RPF- TVF
1200 % DBS- CSTK- TVF- RPF
1200 % DBS- CSTK- DAS- TVF- GAIN
1200 % DBS-CSTK- DAS- RPF- TVF
1200 % ZAP- SCDN- CSTK- DAS- TVF- RNA- MIG- TVF
2400 % DBS- CSTK- DAS- RPF- TVF
1200 % TVSW- DBS- CSTK- DAS- RPF- TVF
600% DBS- CSTK- DAS- RNA- TVF.
600% DBS- CSTK- DAS- RNA- MIGR- TVF.
600% DBS- CSTK- DAS- RPF- MIGR- TVF.
600% DBS- CSTK- DAS- RNA- TVF
600% DBS- CSTK- DAS- RNA- MIGR- TVF
1200 % DBS- CSTK- DAS- RPF- TVF.
1200 % DBS- HVA- CSTK- DAS- RNA- TVF.
2400 % DBS- CSTK- DAS- RNA-  TVF.
 1200% DBS- CSTK- DAS- RPF- TVF
1200 % DBS- CSTK- DAS- RNA-  TVF.
1200 % DBS- CSTK-  DAS- RPF- MIGR- TVF.
2400 % DBS- CSTK- DAS- RPF-  TVF.
1200 % DBS- CSTK- DAS- RPF- MIG- TVF.
1200 % DBS- CSTK- DAS- RPF-  TVF.
1200 % DBS- CSTK-  DAS- RPF- TVF.
1200% DBS- CSTK-DAS- RPF- TVF
1200% DBS- CSTK- DAS- RPF- TVF.
1200% DBS- CSTK- DAS-RPF- TVF
1200 % DBS- CSTK- DAS- RPF-  TVF- GAIN
1200 % DBS- CSTK- DAS- RPF-  MIGR- TVF.
1200 % DBS- CSTK- DAS- RNA-  TVF- GAIN
1200 % DBS- CSTK- DAS- RNA- MIGR-  TVF.
1200% DBS- CSTK- DAS-RNA- TVF- GAIN
1200% DBS- CSTK-DAS- RNA- TVF- GAIN
1200% DBS-CSTK- DAS- RNA-MIG- TVF
1200% DBS- CSTK- DAS- RPF- MIGR- TVF
1200 % DBS- CSTK- DAS- RPF- MIGR- TVF.
1200 % DBS- CSTK- DAS- RNA- TVF.
1200 % DBS- CSTK- DAS- RNA- MIGR- TVF.
 600% SCDN- TVSW- CSTK- RNA- MIGR- TVF.
1200 % DBS- DAS- RNA- MIG- TVF.
600% SCDN- TVSW- RNA- MIG- TVF
600% SCDN- TVSW- DAS- RNA- MIG- TVF
MIGRATION 1200% SCDN- TVSW- DAS- RNA- MIG- TVF
 FINAL STACK
2-FOLD STACK DECON
3D BRUTE STACK
3D MIGRATION
3D MIGRATION DIAGONAL
3D-MIGRATION
AVO INVERSION AND ANALISIS (PRECONDITIONED  GATHER)
AVO INVERSION AND ANALISIS (STM RANDON GATHERS
BRUTE STACK
CSTAK
CSTAK POLARIDAD +
DAS-BPF-MIG
DAS-BPF-MIG-GAIN
DAS-RNA-TVF
DAS-RPF-TVF
DAS-RPF-TVF 
DAS-RPF-TVF-MIGRATION
DAS-TVF
DAS-TVF 
DAS-TVF   
DAS-TVF MIGRATION
DAS-TVF STACK
DAS-TVF+
DAS-TV-FILTERED
DAS-TV-FILTERED (REDUCIDA)
DAS-TVF-RTF
DBS-DAS-BPF-MIG
DBS-DAS-BPF-MIG-GAIN
DBS-DAS-TVF
DECON MIX
DECON STACK
DECON TV FILTER
DECONVOLUCION 
DECONVOLUTION TEST
DEPTH PLOT-TIME PLOT
DEPTH-CONVERTED-TIME
DEPTH-IMAGING-(CONVERTED-TO-TIME)
DEPTH-IMAGING-KIR-1
DEPTH-IMAGING-KIR-1A
DEPTH-IMAGING-KIR-1A(CONVERTED-TO-TIME)
DEPTH-IMAGING-KIR-2
DEPTH-IMAGING-KIR-2B
DEPTH-IMAGING-KIR-3
