procesado_para
ADVANTAGE
ADVANTAGE / PEDCO / HANWHA / HYUNDAI
AGUAYTIA ENERGY DEL PERU S.R.L.
ALTAMESA ENERGY CANADA I.N.C
AMERADA HESS CORPORATION
AMERICAN INTERNATIONAL PETROLEUM CORPORATION
AMOCO PERU PETROLEUM CO.
ANADARKO
ANDEAN ENERGY CORP. S.A.
ANDES PETROLEUM (JAPAN)
ANTILLES OIL AND GAS PERU S.A.C.
ARCO PERU CORPORATION
ATLANTIC RICHFIELD (ARCO)
ATLANTIC RICHFIELD COMPANY (ARCO)
BARRETT 
BARRETT RESOURCES CORPORATION SUCURSAL DEL PERU
BELCO PETROLEUM CORP.
BHDC DE PERU S.A.C.
BPZ EXPLORACION Y PRODUCCION S.R.L.
BRITISH PETROLEUM PERU LTD.
BURLINGTON RESOURCES
CEPSA PERÚ S.A.- SUCURSAL DEL PERÚ
CHEVRON
CHEVRON SAN JORGE S.A.
CIA. PETROLERA RIO BRAVO
CNPC PERU S.A.
COASTAL OIL & GAS CORPORATION
COASTAL PERU LTD.
COMPAGNIE GENERALE GEOPHYSIQUE
CONOCOPHILLIPS COMPANY
CORPORACION NACIONAL DE PETROLEO DE CHINA S.A.
DEMINEX DEUTSCH H.
DTP LABORATORIOS S.R.L.
ELF AQUITAINE/ ELF HYDROCARBURES PEROU
EMPRESA PETROLERA FISCAL
EMPRESA PETROLERA UNIPETRO
ENTERPRISE OIL EXPLORATION LTD
FRONTERA ENERGY
GETTY OIL INC
GLOBAL PETROLEUM S.A
GOLD OIL PERU S.A.C.
GOLD OIL PLC
GRAN TIERRA ENERGY PERU SRL.
GRANA Y MONTERO PETROLERA S.A.
GREAT WESTERN LIMITED
HAMILTON BROTHERS
HISPANOIL SUCURSAL DEL PERU
HUNT OIL EXPLORATION AND PRODUCTION COMPANY PERÚ
INTERNATIONAL PETROLEUM COMPANY
INTEROIL PERÚ S.A.
ION GEOPHYSICAL CORPORATION
KAL ENERGY S.A.C
KAROON PERU PTY LTD.-SUCURSAL DEL PERU
KEI PTY LTD. SUCURSAL DEL PERU
MAPLE / AGUAYTIA ENERGY
MAPLE GAS CORPORATION DEL PERU S.R.L.
MERCANTILE PERU OIL AND GAS
MOBIL
MOBIL OIL COMPANY
MOCHE ENERGY
MURPHY PERU OIL CO. SUC. PERU.
NUEVO ENERGY COMPANY
